# rank frequency word
801 27 eyeing
802 27 father
803 27 finally
804 27 friend
805 27 horse
806 27 hump
807 27 ice
808 27 lie
809 27 looks
810 27 overboard
811 27 precisely
812 27 seated
813 27 somewhat
814 27 started
815 27 thick
816 27 thirty
817 27 tis
818 27 wholly
819 27 wooden
820 27 yards
821 27 year
822 26 according
823 26 blow
824 26 bodily
825 26 carry
826 26 chest
827 26 circumstance
828 26 circumstances
829 26 dart
830 26 degree
831 26 drawn
832 26 dutch
833 26 ears
834 26 enormous
835 26 fancy
836 26 floating
837 26 followed
838 26 getting
839 26 hair
840 26 keel
841 26 masts
842 26 otherwise
843 26 port
844 26 shore
845 26 silent
846 26 states
847 26 sweet
848 26 takes
849 26 talk
850 26 vessels
851 26 war
852 26 wife
853 26 wise
854 26 yourself
855 25 added
856 25 afterwards
857 25 answer
858 25 bearing
859 25 beat
860 25 bright
861 25 cases
862 25 complete
863 25 different
864 25 drop
865 25 duty
866 25 front
867 25 hinted
868 25 honor
869 25 interval
870 25 learned
871 25 regarded
872 25 seldom
873 25 self
874 25 similar
875 25 skull
876 25 spread
877 25 sword
878 25 thrown
879 25 watery
880 24 became
881 24 beyond
882 24 blows
883 24 captains
884 24 cause
885 24 circle
886 24 commanded
887 24 escape
888 24 exactly
889 24 fiery
890 24 fore
891 24 globe
892 24 grow
893 24 headed
894 24 hunt
895 24 instead
896 24 lad
897 24 lakeman
898 24 level
899 24 love
900 24 orders
901 24 owing
902 24 perils
903 24 pulling
904 24 pursuit
905 24 ran
906 24 regular
907 24 remain
908 24 remains
909 24 scuttle
910 24 secret
911 24 somewhere
912 24 strength
913 24 striking
914 24 swift
915 24 thyself
916 24 united
917 24 wall
918 24 warm
919 23 ah
920 23 bag
921 23 break
922 23 burst
923 23 consider
924 23 flesh
925 23 flew
926 23 gazing
927 23 hidden
928 23 higher
929 23 hint
930 23 history
931 23 hot
932 23 instantly
933 23 lances
934 23 log
935 23 magnitude
936 23 master
937 23 meantime
938 23 negro
